delta_wave_intensity,theta_wave_intensity,alpha_wave_intensity,beta_wave_intensity,gamma_wave_intensity,delta_wave_entropy,theta_wave_entropy,alpha_wave_entropy,beta_wave_entropy,gamma_wave_entropy,,emotion
0.5,8,13,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,31,0.5,8,8,13,30,,Anger
4,8,8,30,30,4,4,13,13,30,,Happy
4,4,8,30,30,4,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,8,13,30,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,30,30,,Anger
0.5,4,8,13,45,4,4,13,13,30,,Happy
4,4,8,30,34,2,4,13,30,45,,Anger
0.5,4,13,13,30,0.5,4,8,30,30,,Sad
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
1,4,8,13,30,0.5,8,8,30,30,,Anger
4,4,8,30,30,0.5,4,13,13,30,,Anger
0.5,8,13,13,30,4,4,8,13,45,,Sad
0.5,8,13,13,30,4,4,13,13,30,,Neutral
0.5,4,8,13,34,0.5,4,13,13,30,,Anger
2,4,8,13,45,4,4,13,30,30,,Anger
4,4,8,30,45,4,4,13,30,30,,Anger
0.5,8,13,13,45,0.5,4,8,13,30,,Sad
0.5,8,13,13,30,4,4,8,30,30,,Happy
4,8,13,13,45,4,4,13,13,30,,Neutral
0.5,8,13,13,45,4,4,13,13,45,,Neutral
4,4,8,30,45,4,8,13,30,30,,Anger
0.5,4,8,13,30,4,7,8,13,36,,Anger
4,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,4,8,30,45,0.5,8,13,30,30,,Anger
0.5,4,8,13,30,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,45,,Happy
4,8,13,13,45,0.5,4,13,13,30,,Neutral
0.5,8,13,13,30,0.5,4,13,13,35,,Neutral
4,8,13,30,44,2,4,8,13,30,,Anger
2,8,13,13,30,4,8,13,13,30,,Neutral
0.5,4,8,13,30,0.5,4,8,30,30,,Anger
0.5,4,8,13,30,4,4,8,13,45,,Happy
4,4,8,30,30,0.5,8,8,30,30,,Anger
4,4,13,13,30,0.5,8,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
4,8,8,13,30,0.5,4,8,13,30,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
2,8,13,13,45,4,8,13,30,30,,Anger
4,4,8,30,30,0.5,4,8,30,45,,Anger
0.5,4,8,13,30,0.5,8,13,30,30,,Anger
0.5,8,13,13,45,4,8,13,30,45,,Anger
0.5,4,8,13,30,0.5,4,8,13,30,,Anger
0.5,8,13,13,30,0.5,4,13,13,45,,Neutral
0.5,4,8,13,45,0.5,4,13,30,30,,Anger
0.5,4,13,13,30,0.5,4,13,13,30,,Neutral
4,4,8,30,30,0.5,8,8,13,30,,Anger
4,8,13,30,30,4,8,8,13,30,,Sad
0.5,8,13,13,30,0.5,4,13,13,30,,Neutral
